id;order_id;order_status;invoice_status;hospital_name;created_date
1;Soft;firewall;Sports viral Metal;Polynesia Guilder strategic;2022-06-28T11:32:19
2;Data;application Directives;cultivate Account;compress;2022-06-28T00:57:06
3;redundant;hub Nepalese connect;Avon Rustic;Guam withdrawal seamless;2022-06-28T11:31:33
4;pink orange Table;calculating Bike multi-byte;customized;Borders Incredible;2022-06-28T02:08:03
5;Investment;Technician;Iowa;PCI Account;2022-06-27T14:10:07
6;radical Burundi magenta;Card silver web-enabled;deliverables Tuna neural-net;Facilitator;2022-06-27T22:06:39
7;Checking reboot content;Home;THX silver 24;Kenya Outdoors;2022-06-27T16:23:22
8;Small Tanzania;context-sensitive Usability;Computer Electronics;AGP;2022-06-27T20:09:48
9;Dynamic Awesome e-business;Angola Mission;Bedfordshire Account;transmit;2022-06-27T15:46:50
10;Account;scale Bacon;content-based drive override;Technician FTP Supervisor;2022-06-27T21:00:54
