id;medicine_id;medicine_name;medicine_order_quantity;unit_price;discounted_price;issued_quantity;return_quantity;selling_date
1;35205;tan Assurance open-source;32183;60731;41320;51861;84385;2022-06-27T19:53:23
2;36894;Alaska systematic Card;22727;64124;80768;53390;54569;2022-06-27T22:35:35
3;18929;sensor;57313;56794;49058;31509;59922;2022-06-27T23:58:07
4;6014;Consultant;94223;27102;4916;78431;78287;2022-06-28T11:55:31
5;34890;success Money;29164;94443;37297;7992;10902;2022-06-28T03:43:40
6;34956;Villages Developer knowledge;4041;76953;50308;54258;30476;2022-06-28T05:09:29
7;99545;Checking;12319;27598;41745;38700;78311;2022-06-28T02:07:49
8;91886;efficient actuating;58513;54801;98800;9450;93122;2022-06-28T10:18:33
9;46043;hack Pizza coherent;26658;95360;71348;53750;84753;2022-06-27T16:16:11
10;58695;Practical Planner Integration;13718;20459;12721;5305;81519;2022-06-28T04:54:01
