id;ailaaj_medicine_id;paf_medicine_id;paf_medicine_name;medicine_name;c_factorbrand;supplier
1;4131;95912;Implementation matrix;Home online Agent;73425;Granite
2;6943;54549;facilitate;HTTP;88718;base
3;56421;88103;index hack;Wooden Bedfordshire value-added;89069;attitude
4;85187;62762;Tugrik solid;haptic transform up;83273;Shoes
5;45922;88420;capacitor Jewelery cross-media;Table;54801;solutions Human
6;64851;20661;Metrics index Georgia;Avon superstructure;2148;azure paradigms
7;4033;49834;B2C;moderator Coordinator interface;83991;Granite Direct
8;55936;70650;demand-driven optical XML;Investor EXE Cambridgeshire;68778;Chile payment Internal
9;86016;81223;revolutionary Tuna;Triple-buffered initiatives portals;28960;e-services Auto Rustic
10;94633;17711;Massachusetts digital Loan;SAS content;19327;Kyrgyz Representative
